route_name,route_link,bus_name,bus_type,departing_time,reaching_time,bus_duration,price,seat,star_rating,state,route_lin,route_url
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Kadamba Transport Corporation Limited (KTCL) - 60996'],['Non AC Seater 2+2'],['19:00'],['02:30'],['07h 30m'],['420'],16,['3.7'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Neeta tours and travels'],['AC Sleeper (2+1)'],['13:30'],['19:00'],['05h 30m'],['500'],13,['3.4'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['15:30'],['21:45'],['06h 15m'],['700'],27,['3.9'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['16:30'],['22:30'],['06h 00m'],['550'],16,['4.1'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['16:30'],['23:00'],['06h 30m'],['660'],24,['3.3'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['17:30'],['23:40'],['06h 10m'],['606'],21,['3.3'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['18:20'],['00:35'],['06h 15m'],['719'],17,['4.3'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['18:30'],['00:45'],['06h 15m'],['550'],11,['4.5'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['19:00'],['01:45'],['06h 45m'],['606'],25,['4.0'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['19:30'],['01:10'],['05h 40m'],['669'],5,['4.8'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['20:00'],['01:40'],['05h 40m'],['667'],6,['4.6'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['20:00'],['03:15'],['07h 15m'],['711'],7,['4.6'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['21:00'],['02:30'],['05h 30m'],['599'],26,['4.8'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['AC Sleeper (2+1)'],['18:30'],['00:45'],['06h 15m'],['660'],22,['2.8'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['14:00'],['20:30'],['06h 30m'],['850'],25,['4.8'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['15:30'],['21:45'],['06h 15m'],['989'],9,['4.5'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['17:30'],['00:25'],['06h 55m'],['840'],12,['4.0'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Jolly Tours and Travels'],['VE A/C Sleeper (2+1)'],['17:30'],['00:45'],['07h 15m'],['1499'],26,['3.6'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Sai Travels - Shree Sai'],['NON A/C Push Back (2+2)'],['17:30'],['01:30'],['08h 00m'],['5000'],45,['3.6'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Humsafar Travels'],['A/C Sleeper (2+1)'],['19:00'],['23:55'],['04h 55m'],['2050'],7,['4.0'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,"['National Travels,Goa']",['NON A/C Sleeper (2+1)'],['19:00'],['00:45'],['05h 45m'],[],24,['3.6'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Ashray Travels'],['Non A/C Seater / Sleeper (2+1)'],['20:00'],['01:30'],['05h 30m'],[],28,['4.2'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels (Shreyas)'],['Bharat Benz A/C Sleeper (2+1)'],['20:03'],['02:03'],['06h 00m'],['5000'],24,['4.0'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels ( Gogte )'],['NON A/C Sleeper (2+1)'],['21:15'],['03:15'],['06h 00m'],['5000'],36,['3.1'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Atmaram Travels Goa'],['A/C Sleeper (2+1)'],['22:31'],['04:01'],['05h 30m'],['750'],24,['3.8'],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Giroba Travels'],['Non AC Seater (2+2)'],['18:00'],['02:00'],['08h 00m'],['2000'],36,[],Kadamba,,
Goa to Kolhapur(Maharashtra) Bus,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,['Manish Roshan Travels'],['A/C Sleeper (2+1)'],['18:00'],['02:30'],['08h 30m'],['750'],25,['2.7'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['Kadamba Transport Corporation Limited (KTCL) - 60996'],['Non AC Seater 2+2'],['19:00'],['08:30'],['13h 30m'],['850'],16,['2.8'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['Humsafar Travels'],['A/C Sleeper (2+1)'],['19:00'],['04:30'],['09h 30m'],['1050'],15,['3.8'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['17:30'],['04:45'],['11h 15m'],['989'],12,['3.2'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['16:30'],['04:00'],['11h 30m'],['989'],12,['4.6'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['IntrCity SmartBus'],['AC Sleeper (2+1)'],['15:30'],['03:00'],['11h 30m'],['989'],14,['4.1'],Kadamba,,
Goa to Solapur Bus,https://www.redbus.in/bus-tickets/goa-to-solapur,['S R Travels'],['A/C Seater/Sleeper (2+1)'],['20:30'],['07:30'],['11h 00m'],['600'],28,['2.6'],Kadamba,,
Goa to Sangola (Solapur) Bus,https://www.redbus.in/bus-tickets/goa-to-sangola,['Kadamba Transport Corporation Limited (KTCL) - 60996'],['Non AC Seater 2+2'],['19:00'],['06:05'],['11h 05m'],['675'],19,['3.4'],Kadamba,,
Goa to Sangola (Solapur) Bus,https://www.redbus.in/bus-tickets/goa-to-sangola,['Humsafar Travels'],['A/C Sleeper (2+1)'],['19:00'],['02:00'],['07h 00m'],['1050'],27,['3.1'],Kadamba,,
Sangola (Solapur) to Goa Bus,https://www.redbus.in/bus-tickets/sangola-to-goa,['Kadamba Transport Corporation Limited (KTCL) - 61005'],['Non AC Seater 2+2'],['21:45'],['10:00'],['12h 15m'],['675'],29,['2.7'],Kadamba,,
Calangute (goa) to Goa Airport Bus,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,['Kadamba Transport Corporation Limited (KTCL) - 78627'],['Volvo AC Seater 2+2'],['13:30'],['15:15'],['01h 45m'],['200'],39,['3.7'],Kadamba,,
Calangute (goa) to Goa Airport Bus,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,['Kadamba Transport Corporation Limited (KTCL) - 99718'],['AC Seater (2+2)'],['15:30'],['17:15'],['01h 45m'],['200'],39,['4.2'],Kadamba,,
Calangute (goa) to Goa Airport Bus,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,['Kadamba Transport Corporation Limited (KTCL) - 99719'],['AC Seater (2+2)'],['18:30'],['20:00'],['01h 30m'],['200'],40,['4.8'],Kadamba,,
Goa to Sangli Bus,https://www.redbus.in/bus-tickets/goa-to-sangli,['Kadamba Transport Corporation Limited (KTCL) - 60996'],['Non AC Seater 2+2'],['19:00'],['04:00'],['09h 00m'],['490'],16,['3.4'],Kadamba,,
Goa to Sangli Bus,https://www.redbus.in/bus-tickets/goa-to-sangli,['Humsafar Travels'],['A/C Sleeper (2+1)'],['19:00'],['02:35'],['07h 35m'],['1050'],15,['4.0'],Kadamba,,
Mopa Airport to Calangute (goa) Bus,https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,['Kadamba Transport Corporation Limited (KTCL) - 160438'],['A/C Seater (2+3)'],['13:30'],['14:40'],['01h 10m'],['200'],47,['4.4'],Kadamba,,
Mopa Airport to Calangute (goa) Bus,https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa,['Kadamba Transport Corporation Limited (KTCL) - 160437'],['A/C Seater (2+3)'],['17:30'],['18:40'],['01h 10m'],['200'],47,['4.3'],Kadamba,,
